2018-12-05 12:38:45 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2018-12-05 12:38:45 64 bytes from 8.8.8.8: icmp_seq=1 ttl=118 time=33.3 ms
2018-12-05 12:38:46 64 bytes from 8.8.8.8: icmp_seq=2 ttl=118 time=28.3 ms
2018-12-05 12:38:47 64 bytes from 8.8.8.8: icmp_seq=3 ttl=118 time=40.2 ms
2018-12-05 12:38:48 64 bytes from 8.8.8.8: icmp_seq=4 ttl=118 time=47.5 ms
2018-12-05 12:38:49 64 bytes from 8.8.8.8: icmp_seq=5 ttl=118 time=60.0 ms
2018-12-05 12:38:50 64 bytes from 8.8.8.8: icmp_seq=6 ttl=118 time=34.3 ms
2018-12-05 12:38:51 64 bytes from 8.8.8.8: icmp_seq=7 ttl=118 time=51.7 ms
2018-12-05 12:38:52 64 bytes from 8.8.8.8: icmp_seq=8 ttl=118 time=136 ms
2018-12-05 12:38:53 64 bytes from 8.8.8.8: icmp_seq=9 ttl=118 time=35.7 ms
2018-12-05 12:38:54 64 bytes from 8.8.8.8: icmp_seq=10 ttl=118 time=66.4 ms
2018-12-05 12:38:55 64 bytes from 8.8.8.8: icmp_seq=11 ttl=118 time=95.8 ms
2018-12-05 12:38:56 64 bytes from 8.8.8.8: icmp_seq=12 ttl=118 time=40.3 ms
2018-12-05 12:38:57 64 bytes from 8.8.8.8: icmp_seq=13 ttl=118 time=59.4 ms
2018-12-05 12:38:58 64 bytes from 8.8.8.8: icmp_seq=14 ttl=118 time=39.7 ms
2018-12-05 12:38:59 64 bytes from 8.8.8.8: icmp_seq=15 ttl=118 time=32.4 ms
2018-12-05 12:39:00 64 bytes from 8.8.8.8: icmp_seq=16 ttl=118 time=29.9 ms
2018-12-05 12:39:01 64 bytes from 8.8.8.8: icmp_seq=17 ttl=118 time=39.9 ms
2018-12-05 12:39:02 64 bytes from 8.8.8.8: icmp_seq=18 ttl=118 time=56.3 ms
2018-12-05 12:39:03 64 bytes from 8.8.8.8: icmp_seq=19 ttl=118 time=32.9 ms
2018-12-05 12:39:04 64 bytes from 8.8.8.8: icmp_seq=20 ttl=118 time=38.3 ms
2018-12-05 12:39:05 64 bytes from 8.8.8.8: icmp_seq=21 ttl=118 time=41.8 ms
2018-12-05 12:39:06 64 bytes from 8.8.8.8: icmp_seq=22 ttl=118 time=38.7 ms
2018-12-05 12:39:07 64 bytes from 8.8.8.8: icmp_seq=23 ttl=118 time=41.2 ms
2018-12-05 12:39:08 64 bytes from 8.8.8.8: icmp_seq=24 ttl=118 time=38.2 ms
2018-12-05 12:39:09 64 bytes from 8.8.8.8: icmp_seq=25 ttl=118 time=29.0 ms
2018-12-05 12:39:10 64 bytes from 8.8.8.8: icmp_seq=26 ttl=118 time=29.7 ms
2018-12-05 12:39:11 64 bytes from 8.8.8.8: icmp_seq=27 ttl=118 time=64.9 ms
2018-12-05 12:39:12 64 bytes from 8.8.8.8: icmp_seq=28 ttl=118 time=34.3 ms
2018-12-05 12:39:13 64 bytes from 8.8.8.8: icmp_seq=29 ttl=118 time=57.8 ms
2018-12-05 12:39:14 64 bytes from 8.8.8.8: icmp_seq=30 ttl=118 time=33.0 ms
2018-12-05 12:39:15 64 bytes from 8.8.8.8: icmp_seq=31 ttl=118 time=60.9 ms
2018-12-05 12:39:16 64 bytes from 8.8.8.8: icmp_seq=32 ttl=118 time=37.0 ms
2018-12-05 12:39:17 64 bytes from 8.8.8.8: icmp_seq=33 ttl=118 time=28.0 ms
2018-12-05 12:39:18 64 bytes from 8.8.8.8: icmp_seq=34 ttl=118 time=48.5 ms
2018-12-05 12:39:19 64 bytes from 8.8.8.8: icmp_seq=35 ttl=118 time=188 ms
2018-12-05 12:39:20 64 bytes from 8.8.8.8: icmp_seq=36 ttl=118 time=55.4 ms
2018-12-05 12:39:21 64 bytes from 8.8.8.8: icmp_seq=37 ttl=118 time=45.6 ms
2018-12-05 12:39:22 64 bytes from 8.8.8.8: icmp_seq=38 ttl=118 time=89.4 ms
2018-12-05 12:39:23 64 bytes from 8.8.8.8: icmp_seq=39 ttl=118 time=326 ms
2018-12-05 12:39:24 64 bytes from 8.8.8.8: icmp_seq=40 ttl=118 time=35.1 ms
2018-12-05 12:39:25 64 bytes from 8.8.8.8: icmp_seq=41 ttl=118 time=40.9 ms
2018-12-05 12:39:26 64 bytes from 8.8.8.8: icmp_seq=42 ttl=118 time=41.6 ms
2018-12-05 12:39:27 64 bytes from 8.8.8.8: icmp_seq=43 ttl=118 time=30.7 ms
2018-12-05 12:39:28 64 bytes from 8.8.8.8: icmp_seq=44 ttl=118 time=36.8 ms
2018-12-05 12:39:29 64 bytes from 8.8.8.8: icmp_seq=45 ttl=118 time=31.9 ms
2018-12-05 12:39:30 64 bytes from 8.8.8.8: icmp_seq=46 ttl=118 time=62.7 ms
2018-12-05 12:39:31 64 bytes from 8.8.8.8: icmp_seq=47 ttl=118 time=46.5 ms
2018-12-05 12:39:32 64 bytes from 8.8.8.8: icmp_seq=48 ttl=118 time=34.7 ms
2018-12-05 12:39:33 64 bytes from 8.8.8.8: icmp_seq=49 ttl=118 time=40.8 ms
2018-12-05 12:39:34 64 bytes from 8.8.8.8: icmp_seq=50 ttl=118 time=34.1 ms
2018-12-05 12:39:35 64 bytes from 8.8.8.8: icmp_seq=51 ttl=118 time=35.7 ms
2018-12-05 12:39:36 64 bytes from 8.8.8.8: icmp_seq=52 ttl=118 time=36.9 ms
2018-12-05 12:39:37 64 bytes from 8.8.8.8: icmp_seq=53 ttl=118 time=30.5 ms
2018-12-05 12:39:38 64 bytes from 8.8.8.8: icmp_seq=54 ttl=118 time=43.4 ms
2018-12-05 12:39:39 64 bytes from 8.8.8.8: icmp_seq=55 ttl=118 time=29.8 ms
2018-12-05 12:39:40 64 bytes from 8.8.8.8: icmp_seq=56 ttl=118 time=31.4 ms
2018-12-05 12:39:41 64 bytes from 8.8.8.8: icmp_seq=57 ttl=118 time=34.5 ms
