date,icmp_seq,time
2018-12-05 10:33:45,1,44.9
2018-12-05 10:33:46,2,44.0
2018-12-05 10:33:47,3,30.1
2018-12-05 10:33:48,4,38.7
2018-12-05 10:33:49,5,88.2
2018-12-05 10:33:50,6,40.1
2018-12-05 10:33:51,7,47.3
2018-12-05 10:33:52,8,41.9
2018-12-05 10:33:53,9,163
2018-12-05 10:33:54,10,31.8
2018-12-05 10:33:55,11,53.2
2018-12-05 10:33:56,12,71.0
2018-12-05 10:33:57,13,32.1
2018-12-05 10:33:58,14,53.0
2018-12-05 10:33:59,15,36.0
2018-12-05 10:34:00,16,27.0
2018-12-05 10:34:01,17,26.6
2018-12-05 10:34:02,18,27.3
2018-12-05 10:34:03,19,27.9
2018-12-05 10:34:04,20,140
2018-12-05 10:34:05,21,78.4
2018-12-05 10:34:06,22,49.1
2018-12-05 10:34:07,23,96.3
2018-12-05 10:34:08,24,68.7
2018-12-05 10:34:09,25,250
2018-12-05 10:34:10,26,58.7
2018-12-05 10:34:11,27,38.8
2018-12-05 10:34:12,28,28.0
2018-12-05 10:34:13,29,75.8
2018-12-05 10:34:14,30,46.9
2018-12-05 10:34:15,31,29.4
2018-12-05 10:34:16,32,41.2
2018-12-05 10:34:17,33,88.1
2018-12-05 10:34:18,34,50.4
2018-12-05 10:34:19,35,30.2
2018-12-05 10:34:20,36,29.2
2018-12-05 10:34:21,37,30.7
2018-12-05 10:34:22,38,37.3
2018-12-05 10:34:23,39,29.9
2018-12-05 10:34:24,40,30.1
2018-12-05 10:34:25,41,34.5
2018-12-05 10:34:26,42,33.2
2018-12-05 10:34:27,43,43.3
2018-12-05 10:34:28,44,55.0
2018-12-05 10:34:29,45,30.0
2018-12-05 10:34:30,46,30.0
2018-12-05 10:34:31,47,38.5
2018-12-05 10:34:32,48,36.5
2018-12-05 10:34:33,49,30.1
2018-12-05 10:34:34,50,38.6
2018-12-05 10:34:35,51,32.5
2018-12-05 10:34:36,52,39.7
2018-12-05 10:34:37,53,27.4
2018-12-05 10:34:38,54,31.3
2018-12-05 10:34:39,55,32.7
2018-12-05 10:34:40,56,33.1
2018-12-05 10:34:41,57,30.5
2018-12-05 10:34:42,58,29.4
2018-12-05 10:34:43,59,28.9
2018-12-05 10:34:44,60,36.9
2018-12-05 10:34:45,61,28.3
2018-12-05 10:34:46,62,137
2018-12-05 10:34:47,63,32.2
2018-12-05 10:34:48,64,27.5
2018-12-05 10:34:49,65,37.0
2018-12-05 10:34:50,66,36.0
2018-12-05 10:34:51,67,30.3
2018-12-05 10:34:52,68,47.3
2018-12-05 10:34:53,69,31.3
2018-12-05 10:34:54,70,54.7
2018-12-05 10:34:55,71,63.8
2018-12-05 10:34:56,72,28.4
2018-12-05 10:34:57,73,34.2
2018-12-05 10:34:58,74,31.9
2018-12-05 10:34:59,75,31.1
2018-12-05 10:35:00,76,34.4
2018-12-05 10:35:01,77,32.8
2018-12-05 10:35:02,78,35.4
2018-12-05 10:35:03,79,27.6
2018-12-05 10:35:04,80,36.6
2018-12-05 10:35:05,81,39.2
2018-12-05 10:35:06,82,28.8
2018-12-05 10:35:07,83,44.1
2018-12-05 10:35:08,84,31.2
2018-12-05 10:35:09,85,32.3
2018-12-05 10:35:10,86,32.8
2018-12-05 10:35:11,87,33.6
2018-12-05 10:35:12,88,28.7
2018-12-05 10:35:13,89,49.5
2018-12-05 10:35:14,90,29.4
2018-12-05 10:35:15,91,30.5
2018-12-05 10:35:16,92,40.7
2018-12-05 10:35:17,93,30.6
2018-12-05 10:35:18,94,41.8
2018-12-05 10:35:19,95,33.2
2018-12-05 10:35:20,96,94.2
2018-12-05 10:35:21,97,44.6
2018-12-05 10:35:22,98,32.4
2018-12-05 10:35:23,99,32.1
2018-12-05 10:35:24,100,29.7
2018-12-05 10:35:25,101,32.2
2018-12-05 10:35:26,102,46.2
2018-12-05 10:35:27,103,43.1
2018-12-05 10:35:28,104,28.0
2018-12-05 10:35:29,105,32.6
2018-12-05 10:35:30,106,35.5
2018-12-05 10:35:31,107,47.1
2018-12-05 10:35:32,108,156
2018-12-05 10:35:33,109,38.1
2018-12-05 10:35:34,110,29.7
2018-12-05 10:35:35,111,43.8
2018-12-05 10:35:36,112,31.2
2018-12-05 10:35:37,113,31.6
2018-12-05 10:35:38,114,37.8
2018-12-05 10:35:39,115,27.6
2018-12-05 10:35:40,116,32.9
2018-12-05 10:35:41,117,64.5
2018-12-05 10:35:42,118,36.6
2018-12-05 10:35:43,119,89.9
2018-12-05 10:35:44,120,73.5
2018-12-05 10:35:45,121,32.8
2018-12-05 10:35:46,122,34.0
2018-12-05 10:35:47,123,48.2
2018-12-05 10:35:48,124,30.5
2018-12-05 10:35:49,125,31.6
2018-12-05 10:35:50,126,32.0
2018-12-05 10:35:51,127,36.5
2018-12-05 10:35:52,128,29.4
2018-12-05 10:35:53,129,32.8
2018-12-05 10:35:54,130,32.5
2018-12-05 10:35:55,131,29.1
2018-12-05 10:35:56,132,31.5
2018-12-05 10:35:57,133,28.5
2018-12-05 10:35:58,134,59.9
2018-12-05 10:35:59,135,30.2
2018-12-05 10:36:00,136,34.4
2018-12-05 10:36:01,137,41.8
2018-12-05 10:36:02,138,33.5
2018-12-05 10:36:03,139,54.0
2018-12-05 10:36:04,140,84.8
2018-12-05 10:36:05,141,30.4
2018-12-05 10:36:06,142,39.1
2018-12-05 10:36:07,143,36.3
2018-12-05 10:36:08,144,28.0
2018-12-05 10:36:09,145,32.8
2018-12-05 10:36:10,146,40.9
2018-12-05 10:36:11,147,36.6
2018-12-05 10:36:12,148,81.2
2018-12-05 10:36:13,149,40.8
2018-12-05 10:36:14,150,116
2018-12-05 10:36:15,151,28.0
2018-12-05 10:36:16,152,66.2
2018-12-05 10:36:17,153,36.2
2018-12-05 10:36:18,154,33.9
2018-12-05 10:36:19,155,30.5
2018-12-05 10:36:20,156,42.3
2018-12-05 10:36:21,157,141
2018-12-05 10:36:22,158,27.0
2018-12-05 10:36:23,159,77.1
2018-12-05 10:36:24,160,92.7
2018-12-05 10:36:25,161,37.4
2018-12-05 10:36:26,162,164
2018-12-05 10:36:27,163,33.1
2018-12-05 10:36:28,164,36.6
2018-12-05 10:36:29,165,68.3
2018-12-05 10:36:30,166,53.9
2018-12-05 10:36:31,167,29.8
2018-12-05 10:36:32,168,29.7
2018-12-05 10:36:34,170,43.8
2018-12-05 10:36:35,171,64.4
2018-12-05 10:36:36,172,101
2018-12-05 10:36:37,173,51.7
2018-12-05 10:36:38,174,31.8
2018-12-05 10:36:39,175,61.8
2018-12-05 10:36:40,176,37.6
2018-12-05 10:36:41,177,52.9
2018-12-05 10:36:42,178,38.8
2018-12-05 10:36:43,179,32.9
2018-12-05 10:36:44,180,74.1
2018-12-05 10:36:45,181,38.9
2018-12-05 10:36:46,182,89.1
2018-12-05 10:36:47,183,102
2018-12-05 10:36:48,184,126
2018-12-05 10:36:49,185,182
2018-12-05 10:36:50,186,46.1
2018-12-05 10:36:51,187,83.2
2018-12-05 10:36:52,188,68.5
2018-12-05 10:36:53,189,35.9
2018-12-05 10:36:54,190,37.4
2018-12-05 10:36:55,191,74.3
2018-12-05 10:36:56,192,34.3
2018-12-05 10:36:57,193,32.2
2018-12-05 10:36:58,194,27.9
2018-12-05 10:36:59,195,34.0
2018-12-05 10:37:00,196,33.6
2018-12-05 10:37:01,197,34.6
2018-12-05 10:37:02,198,29.9
2018-12-05 10:37:03,199,33.9
2018-12-05 10:37:04,200,27.3
