time,pack
22:04:13,62.6
22:04:14,49.6
22:04:15,50.3
22:04:16,47.2
22:04:17,49.0
22:04:18,51.0
22:04:19,49.1
22:04:20,49.3
22:04:21,49.5
22:04:22,49.2
22:04:23,46.2
22:04:24,46.7
22:04:25,50.1
22:04:26,66.4
22:04:27,49.2
22:04:28,51.8
22:04:29,61.9
22:04:30,51.5
22:04:31,50.1
22:04:32,51.3
22:04:33,49.3
22:04:34,51.9
22:04:35,48.8
22:04:36,50.8
22:04:37,49.6
22:04:38,49.3
22:04:39,48.1
22:04:40,49.2
22:04:41,49.4
22:04:42,49.3
22:04:43,89.2
22:04:44,49.7
22:04:45,49.2
22:04:46,49.4
22:04:47,51.5
22:04:48,49.9
22:04:49,49.8
22:04:50,49.4
22:04:51,52.5
22:04:52,50.8
22:04:53,49.4
22:04:54,50.0
22:04:55,49.3
22:04:56,50.8
22:04:57,50.0
22:04:58,46.9
22:04:59,49.5
22:05:00,54.8
22:05:01,49.9
22:05:02,115
22:05:03,50.0
22:05:04,49.0
22:05:05,49.8
22:05:06,49.7
22:05:07,49.4
22:05:08,52.1
22:05:09,50.4
22:05:10,48.2
22:05:11,49.7
22:05:12,49.2
22:05:13,46.5
22:05:14,49.5
22:05:15,96.6
22:05:16,49.7
22:05:17,93.8
22:05:18,49.5
22:05:19,89.4
22:05:20,59.2
22:05:21,86.6
22:05:22,80.1
22:05:23,49.2
22:05:24,49.2
22:05:25,49.2
22:05:26,48.3
22:05:27,79.7
22:05:28,71.5
22:05:29,71.8
22:05:30,67.4
22:05:31,66.0
22:05:32,64.5
22:05:33,49.3
22:05:34,71.0
22:05:35,49.2
22:05:36,50.5
22:05:37,57.5
22:05:38,51.7
22:05:39,50.1
22:05:40,51.5
22:05:41,49.7
22:05:42,55.2
22:05:43,51.7
22:05:44,56.6
22:05:45,49.4
22:05:46,48.8
22:05:47,49.2
22:05:48,50.4
22:05:49,49.5
22:05:50,49.1
22:05:51,51.4
22:05:52,49.8
