time,pack
2019-08-30 21:46:43,86.0
2019-08-30 21:46:44,50.0
2019-08-30 21:46:45,49.3
2019-08-30 21:46:46,49.1
2019-08-30 21:46:47,73.6
2019-08-30 21:46:48,67.3
2019-08-30 21:46:49,49.3
2019-08-30 21:46:50,50.8
2019-08-30 21:46:51,49.6
2019-08-30 21:46:52,49.7
2019-08-30 21:46:53,49.8
2019-08-30 21:46:54,58.2
2019-08-30 21:46:55,61.9
2019-08-30 21:46:56,105.0
2019-08-30 21:46:57,58.7
2019-08-30 21:46:58,49.6
2019-08-30 21:46:59,50.6
2019-08-30 21:47:00,46.8
2019-08-30 21:47:01,46.2
2019-08-30 21:47:02,49.9
2019-08-30 21:47:03,56.9
2019-08-30 21:47:04,48.9
2019-08-30 21:47:05,107.0
2019-08-30 21:47:06,49.8
2019-08-30 21:47:07,46.9
2019-08-30 21:47:08,50.3
2019-08-30 21:47:09,50.2
2019-08-30 21:47:10,49.4
2019-08-30 21:47:11,49.4
2019-08-30 21:47:12,78.2
2019-08-30 21:47:13,74.0
2019-08-30 21:47:14,75.5
2019-08-30 21:47:15,82.0
2019-08-30 21:47:16,49.6
2019-08-30 21:47:17,77.2
2019-08-30 21:47:18,68.5
2019-08-30 21:47:19,73.4
2019-08-30 21:47:20,50.1
2019-08-30 21:47:21,50.9
2019-08-30 21:47:22,62.6
2019-08-30 21:47:23,50.0
2019-08-30 21:47:24,48.7
2019-08-30 21:47:25,51.1
2019-08-30 21:47:26,49.8
2019-08-30 21:47:27,50.0
2019-08-30 21:47:28,47.7
2019-08-30 21:47:29,49.7
2019-08-30 21:47:30,47.9
2019-08-30 21:47:31,50.1
2019-08-30 21:47:32,49.7
2019-08-30 21:47:33,49.4
2019-08-30 21:47:34,50.3
2019-08-30 21:47:35,50.1
2019-08-30 21:47:36,49.7
2019-08-30 21:47:37,49.4
2019-08-30 21:47:38,50.1
2019-08-30 21:47:39,49.5
2019-08-30 21:47:40,46.3
2019-08-30 21:47:41,49.6
2019-08-30 21:47:42,49.6
2019-08-30 21:47:43,53.2
2019-08-30 21:47:44,53.4
2019-08-30 21:47:45,56.5
2019-08-30 21:47:46,46.1
2019-08-30 21:47:47,51.1
2019-08-30 21:47:48,46.9
2019-08-30 21:47:49,49.1
2019-08-30 21:47:50,49.0
2019-08-30 21:47:51,49.2
2019-08-30 21:47:52,49.2
2019-08-30 21:47:53,53.8
2019-08-30 21:47:54,49.2
2019-08-30 21:47:55,51.5
2019-08-30 21:47:56,49.6
2019-08-30 21:47:57,49.5
2019-08-30 21:47:58,50.2
2019-08-30 21:47:59,49.8
2019-08-30 21:48:00,49.4
2019-08-30 21:48:01,52.8
2019-08-30 21:48:02,49.5
2019-08-30 21:48:03,49.1
2019-08-30 21:48:04,51.5
2019-08-30 21:48:05,49.7
2019-08-30 21:48:06,51.3
2019-08-30 21:48:07,49.0
2019-08-30 21:48:08,49.1
2019-08-30 21:48:09,48.6
2019-08-30 21:48:10,50.9
2019-08-30 21:48:11,49.0
2019-08-30 21:48:12,52.3
2019-08-30 21:48:13,51.9
2019-08-30 21:48:14,49.2
2019-08-30 21:48:15,51.8
2019-08-30 21:48:16,49.6
2019-08-30 21:48:17,49.7
2019-08-30 21:48:18,50.1
2019-08-30 21:48:19,49.5
2019-08-30 21:48:20,49.8
2019-08-30 21:48:21,48.9
2019-08-30 21:48:22,49.3
2019-08-30 21:51:29,46.4
2019-08-30 21:51:30,60.1
2019-08-30 21:51:31,76.2
2019-08-30 21:51:32,49.7
2019-08-30 21:51:33,46.6
2019-08-30 21:51:34,49.3
2019-08-30 21:51:35,56.3
2019-08-30 21:51:36,50.8
2019-08-30 21:51:37,50.3
2019-08-30 21:51:38,49.1
2019-08-30 21:51:39,49.4
2019-08-30 21:51:40,51.7
2019-08-30 21:51:41,48.9
2019-08-30 21:51:42,49.6
2019-08-30 21:51:43,67.7
2019-08-30 21:51:44,48.7
2019-08-30 21:51:45,49.3
2019-08-30 21:51:46,49.4
2019-08-30 21:51:47,55.2
2019-08-30 21:51:48,51.4
2019-08-30 21:51:49,51.5
2019-08-30 21:51:50,50.6
2019-08-30 21:51:51,49.8
2019-08-30 21:51:52,49.3
2019-08-30 21:51:53,49.2
2019-08-30 21:51:54,48.9
2019-08-30 21:51:55,49.3
2019-08-30 21:51:56,49.3
2019-08-30 21:51:57,51.5
2019-08-30 21:51:58,49.8
2019-08-30 21:51:59,49.6
2019-08-30 21:52:00,49.0
2019-08-30 21:52:01,49.9
2019-08-30 21:52:02,49.9
2019-08-30 21:52:03,49.4
2019-08-30 21:52:04,49.7
2019-08-30 21:52:05,49.3
2019-08-30 21:52:06,48.6
2019-08-30 21:52:07,46.7
2019-08-30 21:52:08,49.3
2019-08-30 21:52:09,50.3
2019-08-30 21:52:10,49.5
2019-08-30 21:52:11,49.9
2019-08-30 21:52:12,49.8
2019-08-30 21:52:13,52.2
2019-08-30 21:52:14,49.8
2019-08-30 21:52:15,48.8
2019-08-30 21:52:16,49.4
2019-08-30 21:52:17,49.5
2019-08-30 21:52:18,46.7
2019-08-30 21:52:19,49.8
2019-08-30 21:52:20,48.7
2019-08-30 21:52:21,52.5
2019-08-30 21:52:22,49.0
2019-08-30 21:52:23,46.1
2019-08-30 21:52:24,49.7
2019-08-30 21:52:25,49.5
2019-08-30 21:52:26,49.7
2019-08-30 21:52:27,49.6
2019-08-30 21:52:28,49.3
2019-08-30 21:52:29,49.2
2019-08-30 21:52:30,50.2
2019-08-30 21:52:31,49.5
2019-08-30 21:52:32,49.7
2019-08-30 21:52:33,49.2
2019-08-30 21:52:34,49.2
2019-08-30 21:52:35,49.6
2019-08-30 21:52:36,50.5
2019-08-30 21:52:37,49.3
2019-08-30 21:52:38,49.4
2019-08-30 21:52:39,49.1
2019-08-30 21:52:40,49.4
2019-08-30 21:52:41,52.1
2019-08-30 21:52:42,50.7
2019-08-30 21:52:43,51.8
2019-08-30 21:52:44,49.6
2019-08-30 21:52:45,49.4
2019-08-30 21:52:47,49.4
2019-08-30 21:52:48,51.6
