2019-08-30 22:04:13 PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
2019-08-30 22:04:13 64 bytes from 8.8.8.8: icmp_seq=1 ttl=56 time=62.6 ms
2019-08-30 22:04:14 64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=49.6 ms
2019-08-30 22:04:15 64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=50.3 ms
2019-08-30 22:04:16 64 bytes from 8.8.8.8: icmp_seq=4 ttl=56 time=47.2 ms
2019-08-30 22:04:17 64 bytes from 8.8.8.8: icmp_seq=5 ttl=56 time=49.0 ms
2019-08-30 22:04:18 64 bytes from 8.8.8.8: icmp_seq=6 ttl=56 time=51.0 ms
2019-08-30 22:04:19 64 bytes from 8.8.8.8: icmp_seq=7 ttl=56 time=49.1 ms
2019-08-30 22:04:20 64 bytes from 8.8.8.8: icmp_seq=8 ttl=56 time=49.3 ms
2019-08-30 22:04:21 64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=49.5 ms
2019-08-30 22:04:22 64 bytes from 8.8.8.8: icmp_seq=10 ttl=56 time=49.2 ms
2019-08-30 22:04:23 64 bytes from 8.8.8.8: icmp_seq=11 ttl=56 time=46.2 ms
2019-08-30 22:04:24 64 bytes from 8.8.8.8: icmp_seq=12 ttl=56 time=46.7 ms
2019-08-30 22:04:25 64 bytes from 8.8.8.8: icmp_seq=13 ttl=56 time=50.1 ms
2019-08-30 22:04:26 64 bytes from 8.8.8.8: icmp_seq=14 ttl=56 time=66.4 ms
2019-08-30 22:04:27 64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=49.2 ms
2019-08-30 22:04:28 64 bytes from 8.8.8.8: icmp_seq=16 ttl=56 time=51.8 ms
2019-08-30 22:04:29 64 bytes from 8.8.8.8: icmp_seq=17 ttl=56 time=61.9 ms
2019-08-30 22:04:30 64 bytes from 8.8.8.8: icmp_seq=18 ttl=56 time=51.5 ms
2019-08-30 22:04:31 64 bytes from 8.8.8.8: icmp_seq=19 ttl=56 time=50.1 ms
2019-08-30 22:04:32 64 bytes from 8.8.8.8: icmp_seq=20 ttl=56 time=51.3 ms
2019-08-30 22:04:33 64 bytes from 8.8.8.8: icmp_seq=21 ttl=56 time=49.3 ms
2019-08-30 22:04:34 64 bytes from 8.8.8.8: icmp_seq=22 ttl=56 time=51.9 ms
2019-08-30 22:04:35 64 bytes from 8.8.8.8: icmp_seq=23 ttl=56 time=48.8 ms
2019-08-30 22:04:36 64 bytes from 8.8.8.8: icmp_seq=24 ttl=56 time=50.8 ms
2019-08-30 22:04:37 64 bytes from 8.8.8.8: icmp_seq=25 ttl=56 time=49.6 ms
2019-08-30 22:04:38 64 bytes from 8.8.8.8: icmp_seq=26 ttl=56 time=49.3 ms
2019-08-30 22:04:39 64 bytes from 8.8.8.8: icmp_seq=27 ttl=56 time=48.1 ms
2019-08-30 22:04:40 64 bytes from 8.8.8.8: icmp_seq=28 ttl=56 time=49.2 ms
2019-08-30 22:04:41 64 bytes from 8.8.8.8: icmp_seq=29 ttl=56 time=49.4 ms
2019-08-30 22:04:42 64 bytes from 8.8.8.8: icmp_seq=30 ttl=56 time=49.3 ms
2019-08-30 22:04:43 64 bytes from 8.8.8.8: icmp_seq=31 ttl=56 time=89.2 ms
2019-08-30 22:04:44 64 bytes from 8.8.8.8: icmp_seq=32 ttl=56 time=49.7 ms
2019-08-30 22:04:45 64 bytes from 8.8.8.8: icmp_seq=33 ttl=56 time=49.2 ms
2019-08-30 22:04:46 64 bytes from 8.8.8.8: icmp_seq=34 ttl=56 time=49.4 ms
2019-08-30 22:04:47 64 bytes from 8.8.8.8: icmp_seq=35 ttl=56 time=51.5 ms
2019-08-30 22:04:48 64 bytes from 8.8.8.8: icmp_seq=36 ttl=56 time=49.9 ms
2019-08-30 22:04:49 64 bytes from 8.8.8.8: icmp_seq=37 ttl=56 time=49.8 ms
2019-08-30 22:04:50 64 bytes from 8.8.8.8: icmp_seq=38 ttl=56 time=49.4 ms
2019-08-30 22:04:51 64 bytes from 8.8.8.8: icmp_seq=39 ttl=56 time=52.5 ms
2019-08-30 22:04:52 64 bytes from 8.8.8.8: icmp_seq=40 ttl=56 time=50.8 ms
2019-08-30 22:04:53 64 bytes from 8.8.8.8: icmp_seq=41 ttl=56 time=49.4 ms
2019-08-30 22:04:54 64 bytes from 8.8.8.8: icmp_seq=42 ttl=56 time=50.0 ms
2019-08-30 22:04:55 64 bytes from 8.8.8.8: icmp_seq=43 ttl=56 time=49.3 ms
2019-08-30 22:04:56 64 bytes from 8.8.8.8: icmp_seq=44 ttl=56 time=50.8 ms
2019-08-30 22:04:57 64 bytes from 8.8.8.8: icmp_seq=45 ttl=56 time=50.0 ms
2019-08-30 22:04:58 64 bytes from 8.8.8.8: icmp_seq=46 ttl=56 time=46.9 ms
2019-08-30 22:04:59 64 bytes from 8.8.8.8: icmp_seq=47 ttl=56 time=49.5 ms
2019-08-30 22:05:00 64 bytes from 8.8.8.8: icmp_seq=48 ttl=56 time=54.8 ms
2019-08-30 22:05:01 64 bytes from 8.8.8.8: icmp_seq=49 ttl=56 time=49.9 ms
2019-08-30 22:05:02 64 bytes from 8.8.8.8: icmp_seq=50 ttl=56 time=115 ms
2019-08-30 22:05:03 64 bytes from 8.8.8.8: icmp_seq=51 ttl=56 time=50.0 ms
2019-08-30 22:05:04 64 bytes from 8.8.8.8: icmp_seq=52 ttl=56 time=49.0 ms
2019-08-30 22:05:05 64 bytes from 8.8.8.8: icmp_seq=53 ttl=56 time=49.8 ms
2019-08-30 22:05:06 64 bytes from 8.8.8.8: icmp_seq=54 ttl=56 time=49.7 ms
